Time (s),FP1_Filtered,FP2_Filtered
0.296,8845.091703355403,-8110.8170299415915
0.3,8846.543356434182,-8108.51477899286
0.304,8848.894395506537,-8104.934388907942
0.308,8852.202152142316,-8100.464265020092
0.312,8856.10995354429,-8095.795178491186
0.315,8860.66089079538,-8091.500822464791
0.319,8865.515851176799,-8088.248877209555
0.323,8869.256106754001,-8086.865461643793
0.327,8870.581351299114,-8087.639412848392
0.331,8869.753089926533,-8089.813816714477
0.336,8867.990453932034,-8092.216390766433
0.34,8865.97072636476,-8094.227374770674
0.344,8863.868063487027,-8095.8231469875955
0.348,8862.291707616007,-8097.03156826733
0.352,8861.88483357814,-8097.916571780745
0.355,8862.124458934533,-8098.935930709834
0.359,8861.663268039849,-8100.716999666263
0.363,8859.879570729374,-8103.443816949434
0.367,8857.102534684991,-8106.871562475308
0.371,8853.389043677513,-8110.852503300476
0.376,8848.303147281822,-8115.305709238091
0.38,8842.137858157761,-8119.6449273260405
0.384,8836.204538915888,-8122.8115738627575
0.388,8831.441166821563,-8124.094413168138
0.392,8827.618695628762,-8123.576781183881
0.396,8824.25841384054,-8121.754674580252
0.399,8821.279928014983,-8119.255380096818
0.403,8818.182598097283,-8117.092199291614
0.407,8813.653244329442,-8116.5517944285975
0.411,8806.912641750969,-8118.297211598927
0.415,8798.787879171594,-8121.803670079519
0.42,8790.656889039767,-8125.951945568536
0.424,8782.944460857665,-8129.8760971707725
0.428,8775.397326873297,-8133.019258685134
0.432,8768.070841794577,-8134.91534488661
0.436,8760.969255387972,-8135.542014080453
0.439,8753.258532707956,-8135.666282104313
0.443,8744.094439538048,-8136.25328713511
0.447,8734.100658874104,-8137.550072188316
0.451,8725.012013846923,-8139.105968853006
0.455,8717.97507298303,-8140.508974817084
0.46,8713.139101309534,-8141.6243424941895
0.464,8710.639314642014,-8142.280420080098
0.468,8710.636878504492,-8142.366037069293
0.472,8712.207227296585,-8142.2945372682625
0.476,8713.437799872605,-8142.790063972666
0.479,8713.15204252662,-8144.026074790721
0.483,8711.728468354257,-8145.402852961152
0.487,8709.985683637611,-8146.310083492015
0.491,8708.298766287431,-8146.68433816798
0.495,8707.200260768002,-8146.709096082972
0.499,8707.655801128607,-8146.478893115228
0.504,8709.899859816172,-8146.159099059408
0.508,8712.821725379454,-8145.917958852125
0.512,8715.3186894749,-8145.326253648333
0.516,8717.544810814006,-8143.312710995082
0.52,8720.004702014352,-8139.288808276015
0.523,8722.121563789686,-8134.17889666359
0.527,8722.684070162422,-8130.015941528776
0.531,8721.177524930374,-8128.70066164233
0.535,8717.688350940125,-8131.289649879695
0.539,8712.020945796625,-8137.856131233976
0.544,8704.134592077353,-8147.260866235985
0.548,8695.226101508846,-8157.204040002548
0.552,8687.139642315868,-8165.283474935847
0.556,8680.621452462392,-8170.328100586472
0.56,8675.12707635723,-8172.554773637739
0.563,8670.297929087226,-8172.656365242655
0.567,8666.47427831329,-8171.260864003909
0.571,8663.62373132835,-8169.15063814321
0.575,8661.011683688737,-8167.236583430651
0.579,8658.401797690898,-8165.98367810065
0.584,8656.56441280568,-8165.242031053743
0.588,8656.09301938698,-8164.787585280312
0.592,8656.674955173172,-8164.576191635515
0.596,8658.085975251524,-8164.297341119096
0.6,8660.895181192633,-8163.2339918535645
0.604,8665.3600364717,-8160.975743610412
0.607,8670.416935266894,-8157.9456738824765
0.611,8674.66320949896,-8154.909021430507
0.615,8677.733941406315,-8152.309685229421
0.619,8679.89511229768,-8150.411672832111
0.623,8680.986654073477,-8149.652560266314
0.628,8680.861730179058,-8150.290302203539
0.632,8680.391534520262,-8151.891609714452
0.636,8680.831155483122,-8153.652471661549
0.64,8682.339344859593,-8155.0981436633765
0.644,8684.108213165548,-8156.082048196838
0.647,8685.725066513007,-8156.35755062464
0.651,8687.289946886998,-8155.766308664692
0.655,8688.314392366321,-8154.799662715677
0.659,8687.811848506677,-8154.368346614329
0.663,8685.768215230511,-8154.877294866439
0.668,8683.475341726797,-8155.922727280931
0.672,8682.075718275042,-8156.906051488879
0.676,8681.688704625163,-8157.459757266113
0.68,8682.176586736316,-8157.259465684348
0.684,8683.57762754676,-8156.093397679123
0.688,8685.188418630727,-8154.445016046052
0.691,8685.300175448752,-8153.513991389601
0.695,8682.789955088034,-8154.228320484854
0.699,8678.410156582033,-8156.452082071462
0.703,8673.89605692397,-8159.334309703792
0.707,8670.514044145568,-8162.0163863782045
0.712,8669.108778621016,-8163.731158885806
0.716,8670.553301655358,-8163.7724569573265
0.72,8674.857801415284,-8162.031712706803
0.724,8680.245782825916,-8159.405155411795
0.728,8684.301097585832,-8157.153558688346
0.731,8685.979355297024,-8155.894181360796
0.735,8685.776272851728,-8155.505997777528
0.739,8684.415679268943,-8155.736603934739
0.743,8682.513663863834,-8156.375267549108
0.747,8681.187979913995,-8157.021546855578
0.752,8681.456734756086,-8157.377761284234
0.756,8682.661147774408,-8157.879800615546
0.76,8682.57942832828,-8159.501167938084
0.764,8679.616370749234,-8162.706554690909
0.768,8674.35881449617,-8166.8423800203855
0.771,8669.231538240443,-8170.442337617274
0.775,8667.912386188495,-8171.605483519182
0.779,8675.049773231525,-8168.20499653706
0.783,8694.236557959683,-8158.842051329813
0.787,8724.034871389022,-8144.557873504779
0.792,8755.987734327124,-8129.526344406569
0.796,8777.97208331319,-8119.374803934167
0.8,8781.038124059101,-8118.119554082736
0.804,8764.72045676593,-8125.9407830823775
0.808,8737.334577481482,-8139.209854840902
0.812,8711.108044722292,-8152.699671472755
0.815,8695.178505380425,-8162.555786607531
0.819,8691.37891328361,-8167.893431896476
0.823,8695.617331974821,-8169.990975737326
0.827,8702.358263129525,-8170.398494726978
0.831,8707.58509972379,-8169.9720436543985
0.836,8709.210922636166,-8169.049874782329
0.84,8707.127051710251,-8167.641067796459
0.844,8703.395447363477,-8165.408858330455
0.848,8700.948851011743,-8162.161375657646
0.852,8701.194537955647,-8158.593781496655
0.855,8703.289609711155,-8156.112866859452
0.859,8705.695730755513,-8155.7436236654785
0.863,8707.410658051818,-8157.501471428643
0.867,8707.558945313778,-8160.7960648629705
0.871,8705.195776186647,-8164.89162562975
0.876,8700.395527109016,-8168.836965646345
0.88,8694.717672693776,-8171.595728066125
0.884,8689.84328244444,-8172.724528523669
0.888,8686.384880431142,-8172.621614862419
0.892,8684.533854595566,-8171.805444032056
0.896,8684.843409061617,-8170.306078046518
0.899,8687.3254453223,-8168.09281354632
0.903,8690.457884945483,-8165.67884171763
0.907,8692.272024066453,-8163.781948025846
0.911,8692.185216710493,-8162.60442393605
0.915,8690.960043386487,-8161.88139992893
0.92,8689.369230976794,-8161.401911835832
0.924,8687.9665903503,-8160.994082877837
0.928,8687.729844976198,-8160.215376276112
0.932,8689.50624392011,-8158.683149523439
0.936,8692.706252898264,-8156.710991578958
0.939,8695.678240677838,-8155.102887812342
0.943,8697.583995698238,-8154.282327542663
0.947,8698.96373350128,-8154.071811072424
0.951,8700.393152530065,-8154.298993277199
0.955,8701.754978692948,-8155.032084626204
0.96,8703.12849888952,-8156.086440713154
0.964,8705.161458625053,-8156.872103250117
0.968,8707.899000065625,-8157.019391123334
0.972,8710.213354735093,-8156.742878588773
0.976,8711.134537760483,-8156.346879732589
0.979,8710.977247005532,-8155.795347241724
0.983,8710.489558420177,-8155.0397312596
0.987,8709.718155948996,-8154.316170893387
0.991,8708.529121965037,-8153.724670413525
0.995,8707.452901183979,-8152.8839846799465
0.999,8706.94852135818,-8151.457643494676
1.0,8706.342731005958,-8149.770569813042
1.01,8704.561921805667,-8148.488081613808
1.01,8701.597594375802,-8147.913200196393
1.02,8698.295694694605,-8148.015291022478
1.02,8695.064452267363,-8148.886193181767
1.02,8691.898632118724,-8150.600277133853
1.03,8689.432300645189,-8152.7281479261
1.03,8688.660351480718,-8154.561417613052
1.04,8689.451547910336,-8155.869421010762
1.04,8690.40587238288,-8156.998764175635
1.04,8690.408120289678,-8158.229838851923
1.05,8689.381710836626,-8159.51133293445
1.05,8687.39988747429,-8160.847824512767
1.06,8684.269123994362,-8162.382624682814
1.06,8680.482922305664,-8163.90387404175
1.06,8677.512489904262,-8164.74981137751
1.07,8676.422080490278,-8164.481523571995
1.07,8676.926619138223,-8163.311945651615
1.08,8678.342644740425,-8161.689490537964
1.08,8680.578650559422,-8159.880210352642
1.08,8683.465368767447,-8158.221332463901
1.09,8685.981489276315,-8157.329877429872
1.09,8687.16230599175,-8157.603572212442
1.1,8687.264668437067,-8158.755827069749
1.1,8687.153176310338,-8160.209538152475
1.1,8687.053312510534,-8161.708114566038
1.11,8686.86785773689,-8163.1704144225205
1.11,8687.215782210807,-8164.2286872511
1.12,8688.919766378465,-8164.438903886751
1.12,8691.565355221157,-8163.858734774042
1.12,8693.621813402844,-8162.984473808949
1.13,8693.973520472717,-8162.202688249349
1.13,8692.442234493512,-8161.706924851741
1.14,8689.108133775533,-8161.757039235546
1.14,8684.61803772833,-8162.328390783027
1.14,8681.52521671227,-8162.367349375817
1.15,8683.880734204813,-8160.024362408389
1.15,8694.182253552164,-8154.17255265233
1.16,8710.416204657937,-8145.861797633221
1.16,8725.469813235082,-8138.62056614821
1.16,8728.419959284294,-8137.738537473737
1.17,8707.465580574812,-8148.6138748466155
1.17,8655.83584125376,-8173.813674113095
1.18,8579.294256430449,-8209.831444521249
1.18,8498.92283612202,-8246.399938594961
1.18,8443.773776452932,-8270.345487677427
1.19,8436.028849813667,-8272.329864784304
1.19,8478.404246669548,-8252.064717617497
1.2,8552.662785894283,-8218.381932181825
1.2,8630.255645411316,-8184.133347517495
1.2,8687.547824074143,-8159.497750313839
1.21,8715.348997463947,-8148.128520930792
1.21,8718.073786500494,-8147.851194451448
1.22,8706.562565430382,-8153.879088553518
1.22,8691.559619212549,-8161.531083558231
1.22,8680.530224864822,-8167.482878007089
1.23,8676.403731294266,-8170.2632844234595
1.23,8677.666495914265,-8170.243134328755
1.24,8680.618751640819,-8168.787920776341
1.24,8682.531535569491,-8167.094325567779
1.24,8682.772185898091,-8165.793806373983
1.25,8681.619684970658,-8165.298634147281
1.25,8679.413011985118,-8165.887648318872
1.26,8677.023079056156,-8167.361174358472
1.26,8675.738228753806,-8169.1187378883415
1.26,8675.86522959803,-8170.8003897202225
1.27,8676.193274379195,-8172.527963551626
1.27,8675.39526705558,-8174.388255299977
1.28,8673.257984503998,-8176.054879149688
1.28,8670.137824863306,-8177.099877601933
1.28,8666.211029227901,-8177.315115833254
1.29,8662.053098412442,-8176.5231124102775
1.29,8659.109785104622,-8174.486899526689
1.3,8658.526312522954,-8171.3865733588755
1.3,8659.913684124773,-8168.135568908852
1.3,8662.088246832747,-8165.849443387982
1.31,8664.567032540675,-8165.096459872422
1.31,8667.482767815125,-8165.822717911723
1.32,8670.550959379181,-8167.654951656987
1.32,8673.261720274377,-8169.864577657271
1.32,8675.871895969683,-8171.29703050568
1.33,8679.0847257473,-8170.943251091992
1.33,8682.77755934688,-8168.705392267727
1.34,8686.094653005335,-8165.343652385057
